Gene,p value Black,mutation rates
COL9A1,0.0019589438256024,0.111111111111111
COQ7,0.0019589438256024,0.111111111111111
CP,0.0019589438256024,0.111111111111111
CPA6,0.0019589438256024,0.111111111111111
CPLX3,0.0019589438256024,0.111111111111111
CPXM1,0.0019589438256024,0.111111111111111
CRBN,0.0019589438256024,0.111111111111111
CSMD1,0.0019589438256024,0.111111111111111
CSNK2A2,0.0019589438256024,0.111111111111111
CST5,0.0019589438256024,0.111111111111111
CTNNBL1,0.0019589438256024,0.111111111111111
CTNND2,0.0019589438256024,0.111111111111111
CTU2,0.0019589438256024,0.111111111111111
CYFIP2,0.0019589438256024,0.111111111111111
CYP2A7,0.0019589438256024,0.111111111111111
CYP2U1,0.0019589438256024,0.111111111111111
DBNDD2,0.0019589438256024,0.111111111111111
