Gene,p value Asian,mutation rates
ATCAY,4.91443932977982e-08,0.333333333333333
ATF5,4.91443932977982e-08,0.333333333333333
ATF6,4.91443932977982e-08,0.333333333333333
ATG16L2,4.91443932977982e-08,0.333333333333333
ATG2B,4.91443932977982e-08,0.333333333333333
ATG4C,4.91443932977982e-08,0.333333333333333
ATMIN,4.91443932977982e-08,0.333333333333333
ATP10A,4.91443932977982e-08,0.333333333333333
ATP11C,4.91443932977982e-08,0.333333333333333
ATP12A,4.91443932977982e-08,0.333333333333333
ATP13A4,4.91443932977982e-08,0.333333333333333
ATP13A5,4.91443932977982e-08,0.333333333333333
ATP1A2,4.91443932977982e-08,0.333333333333333
ATP1A3,4.91443932977982e-08,0.333333333333333
ATP1B2,4.91443932977982e-08,0.333333333333333
ATP1B3,4.91443932977982e-08,0.333333333333333
ATP2B1,4.91443932977982e-08,0.333333333333333
ATP2B3,4.91443932977982e-08,0.333333333333333
ATP2C1,4.91443932977982e-08,0.333333333333333
ATP5C1,4.91443932977982e-08,0.333333333333333
ATP6AP2,4.91443932977982e-08,0.333333333333333
ATP6V1C1,4.91443932977982e-08,0.333333333333333
ATP7A,4.91443932977982e-08,0.333333333333333
ATP7B,4.91443932977982e-08,0.333333333333333
ATP8B1,4.91443932977982e-08,0.333333333333333
ATP8B3,4.91443932977982e-08,0.333333333333333
ATP8B4,4.91443932977982e-08,0.333333333333333
ATP9B,4.91443932977982e-08,0.333333333333333
ATR,4.91443932977982e-08,0.333333333333333
ATRIP,4.91443932977982e-08,0.333333333333333
ATXN3L,4.91443932977982e-08,0.333333333333333
AWAT1,4.91443932977982e-08,0.333333333333333
AXDND1,4.91443932977982e-08,0.333333333333333
AZGP1,4.91443932977982e-08,0.333333333333333
BAHD1,4.91443932977982e-08,0.333333333333333
BAP1,4.91443932977982e-08,0.333333333333333
BARD1,4.91443932977982e-08,0.333333333333333
BBS7,4.91443932977982e-08,0.333333333333333
BBX,4.91443932977982e-08,0.333333333333333
BCAR3,4.91443932977982e-08,0.333333333333333
BCKDHB,4.91443932977982e-08,0.333333333333333
BCKDK,4.91443932977982e-08,0.333333333333333
BCL10,4.91443932977982e-08,0.333333333333333
BCL11B,4.91443932977982e-08,0.333333333333333
BCL2A1,4.91443932977982e-08,0.333333333333333
BCL6,4.91443932977982e-08,0.333333333333333
BDH2,4.91443932977982e-08,0.333333333333333
BDKRB1,4.91443932977982e-08,0.333333333333333
BDNF,4.91443932977982e-08,0.333333333333333
BEND5,4.91443932977982e-08,0.333333333333333
BEST3,4.91443932977982e-08,0.333333333333333
BEX2,4.91443932977982e-08,0.333333333333333
BEX4,4.91443932977982e-08,0.333333333333333
BHLHB9,4.91443932977982e-08,0.333333333333333
BIN2,4.91443932977982e-08,0.333333333333333
BLID,4.91443932977982e-08,0.333333333333333
BMP10,4.91443932977982e-08,0.333333333333333
BMP2K,4.91443932977982e-08,0.333333333333333
BMP4,4.91443932977982e-08,0.333333333333333
BMPER,4.91443932977982e-08,0.333333333333333
BMS1P20,4.91443932977982e-08,0.333333333333333
BMX,4.91443932977982e-08,0.333333333333333
BNC1,4.91443932977982e-08,0.333333333333333
BNIP3,4.91443932977982e-08,0.333333333333333
BOP1,4.91443932977982e-08,0.333333333333333
BPI,4.91443932977982e-08,0.333333333333333
BPIFA3,4.91443932977982e-08,0.333333333333333
BPIFB1,4.91443932977982e-08,0.333333333333333
BRCA2,4.91443932977982e-08,0.333333333333333
BRD1,4.91443932977982e-08,0.333333333333333
BRD7,4.91443932977982e-08,0.333333333333333
BRD8,4.91443932977982e-08,0.333333333333333
BRDT,4.91443932977982e-08,0.333333333333333
BRINP3,4.91443932977982e-08,0.333333333333333
BRIP1,4.91443932977982e-08,0.333333333333333
BRS3,4.91443932977982e-08,0.333333333333333
BRSK2,4.91443932977982e-08,0.333333333333333
BRWD3,4.91443932977982e-08,0.333333333333333
BST1,4.91443932977982e-08,0.333333333333333
BTG4,4.91443932977982e-08,0.333333333333333
BTN2A3P,4.91443932977982e-08,0.333333333333333
BTN3A1,4.91443932977982e-08,0.333333333333333
BTN3A2,4.91443932977982e-08,0.333333333333333
BTNL8,4.91443932977982e-08,0.333333333333333
C10orf90,4.91443932977982e-08,0.333333333333333
C11orf54,4.91443932977982e-08,0.333333333333333
C12orf74,4.91443932977982e-08,0.333333333333333
C14orf166,4.91443932977982e-08,0.333333333333333
C15orf43,4.91443932977982e-08,0.333333333333333
C16orf70,4.91443932977982e-08,0.333333333333333
C16orf78,4.91443932977982e-08,0.333333333333333
C16orf89,4.91443932977982e-08,0.333333333333333
C17orf104,4.91443932977982e-08,0.333333333333333
C17orf47,4.91443932977982e-08,0.333333333333333
C17orf64,4.91443932977982e-08,0.333333333333333
C17orf98,4.91443932977982e-08,0.333333333333333
C18orf54,4.91443932977982e-08,0.333333333333333
C1GALT1,4.91443932977982e-08,0.333333333333333
C1GALT1C1,4.91443932977982e-08,0.333333333333333
C1QTNF1,4.91443932977982e-08,0.333333333333333
C1R,4.91443932977982e-08,0.333333333333333
C1orf220,4.91443932977982e-08,0.333333333333333
C1orf54,4.91443932977982e-08,0.333333333333333
C20orf195,4.91443932977982e-08,0.333333333333333
C20orf196,4.91443932977982e-08,0.333333333333333
C21orf62,4.91443932977982e-08,0.333333333333333
C2CD3,4.91443932977982e-08,0.333333333333333
C2CD5,4.91443932977982e-08,0.333333333333333
C2orf78,4.91443932977982e-08,0.333333333333333
