"","Gene","p value"
"356","CATSPER4","0.729446774486572"
"357","RP11-231P20.2","NaN"
"358","CEP85","0.965425816035986"
"359","SH3BGRL3","NaN"
"360","UBXN11","1"
"361","CD52","1"
"362","AIM1L","1"
"363","ZNF683","1"
"364","LIN28A","1"
"365","DHDDS","1"
"366","HMGN2","1"
"367","RPS6KA1","0.858326574223094"
"368","ARID1A","0.0295087053223191"
"369","PIGV","1"
"370","ZDHHC18","1"
"371","SFN","1"
"372","GPN2","1"
"373","GPATCH3","0.999999999999999"
"374","NUDC","1"
"375","NR0B2","1"
"376","TRNP1","1"
"377","FAM46B","1"
"378","SLC9A1","0.999999999999999"
"379","WDTC1","1"
"380","TMEM222","1"
"381","SYTL1","0.864970730776298"
"382","MAP3K6","0.0648841218305601"
"383","FCN3","0.117100037169376"
"384","CD164L2","1"
"385","GPR3","1"
"386","WASF2","0.729446774486572"
"387","AHDC1","0.367035015390571"
"388","FGR","1"
"389","IFI6","0.999999999999999"
"390","FAM76A","1"
"391","STX12","1"
"392","PPP1R8","1"
"393","THEMIS2","1"
"394","RPA2","1"
"395","SMPDL3B","1"
"396","XKR8","1"
"397","EYA3","0.999999999999999"
"398","SPCS2P4","1"
"399","RP5-1053E7.3","NaN"
"400","PTAFR","1"
"401","DNAJC8","1"
"402","ATPIF1","1"
"403","SESN2","1"
"404","MED18","0.117100037169376"
"405","PHACTR4","0.117197911756402"
"406","RCC1","1"
"407","SNORA73B","NaN"
"408","TRNAU1AP","1"
"409","TAF12","1"
"410","RAB42","NaN"
"411","RNU11","0.569997928420165"
"412","GMEB1","0.858326574223094"
"413","YTHDF2","1"
"414","OPRD1","0.999999999999999"
"415","EPB41","0.999999999999999"
"416","TMEM200B","1"
"417","SRSF4","1"
"418","MECR","1"
"419","PTPRU","0.796110323709933"
"420","AC092265.1","NaN"
"421","MATN1","1"
"422","LAPTM5","NaN"
"423","SDC3","1"
"424","PUM1","0.569997928420165"
"425","NKAIN1","NaN"
"426","SNRNP40","0.999999999999999"
"427","ZCCHC17","1"
"428","FABP3","NaN"
"429","SERINC2","1"
"430","AC114494.1","NaN"
"431","TINAGL1","1"
"432","HCRTR1","1"
"433","PEF1","0.858326574223094"
"434","COL16A1","0.999999999999999"
"435","SPOCD1","1"
"436","PTP4A2","0.999999999999999"
"437","KHDRBS1","NaN"
"438","TMEM39B","1"
"439","KPNA6","1"
"440","TXLNA","1"
"441","CCDC28B","1"
"442","IQCC","1"
"443","DCDC2B","0.999999999999999"
"444","TMEM234","0.999999999999999"
"445","EIF3I","0.999999999999999"
"446","MTMR9LP","1"
"447","FAM167B","1"
"448","LCK","1"
"449","HDAC1","0.249744279800407"
"450","MARCKSL1","1"
"451","TSSK3","0.117100037169376"
