"","Gene","p value"
"266","OTUD3","0.947916211311687"
"267","PLA2G2E","NaN"
"268","PLA2G2A","NaN"
"269","PLA2G5","NaN"
"270","PLA2G2D","NaN"
"271","PLA2G2F","0.999999999999999"
"272","PLA2G2C","NaN"
"273","UBXN10","1"
"274","VWA5B1","0.999999999999999"
"275","CAMK2N1","0.947916211311687"
"276","MUL1","NaN"
"277","FAM43B","1"
"278","CDA","0.2942505182063"
"279","PINK1","1"
"280","DDOST","NaN"
"281","KIF17","0.421839281925926"
"282","SH2D5","0.421839281925926"
"283","HP1BP3","0.947916211311687"
"284","EIF4G3","0.999999999999998"
"285","ECE1","0.947916211311687"
"286","NBPF2P","1"
"287","NBPF3","0.909648954425822"
"288","ALPL","NaN"
"289","RAP1GAP","0.947916211311687"
"290","USP48","0.0881203937639616"
"291","LDLRAD2","0.536446088618447"
"292","HSPG2","0.0391036165860432"
"293","CELA3B","0.999999999999999"
"294","CELA3A","1"
"295","LINC00339","NaN"
"296","CDC42","0.421839281925926"
"297","WNT4","0.421839281925926"
"298","ZBTB40","0.709281690647456"
"299","EPHA8","0.709281690647456"
"300","C1QA","0.536446088618447"
"301","C1QC","1"
"302","C1QB","NaN"
"303","EPHB2","1"
"304","C1orf234","NaN"
"305","KDM1A","0.909648954425822"
"306","LUZP1","NaN"
"307","HTR1D","1"
"308","HNRNPR","1"
"309","ZNF436","0.999999999999998"
"310","TCEA3","1"
"311","ASAP3","0.5252412886809"
"312","E2F2","NaN"
"313","ID3","0.947916211311687"
"314","MDS2","NaN"
"315","RPL11","0.947916211311687"
"316","TCEB3","0.909648954425822"
"317","PITHD1","0.421839281925926"
"318","LYPLA2","1"
"319","GALE","NaN"
"320","HMGCL","1"
"321","FUCA1","NaN"
"322","CNR2","1"
"323","PNRC2","0.536446088618447"
"324","SRSF10","NaN"
"325","MYOM3","0.909648954425822"
"326","IL22RA1","0.947916211311687"
"327","IFNLR1","0.947916211311687"
"328","GRHL3","NaN"
"329","STPG1","NaN"
"330","NIPAL3","NaN"
"331","RCAN3","0.536446088618447"
"332","NCMAP","NaN"
"333","SRRM1","0.449595887851128"
"334","CLIC4","NaN"
"335","RUNX3","0.947916211311687"
"336","SYF2","1"
"337","RHD","NaN"
"338","TMEM50A","NaN"
"339","RHCE","0.999999999999999"
"340","TMEM57","0.947916211311687"
