"","Gene","p value"
"546","OXCT2","1"
"547","TRIT1","0.696763233280634"
"548","MYCL","1"
"549","MFSD2A","0.968240573759451"
"550","CAP1","0.619796905061822"
"551","PPT1","1"
"552","RLF","1"
"553","TMCO2","1"
"554","ZMPSTE24","0.755529004725746"
"555","COL9A2","1"
"556","SMAP2","0.795977208729103"
"557","ZFP69B","1"
"558","ZFP69","1"
"559","EXO5","0.110779847949367"
"560","ZNF684","1"
"561","RIMS3","1"
"562","NFYC","0.795977208729103"
"563","KCNQ4","1"
"564","CITED4","NaN"
"565","CTPS1","1"
"566","SLFNL1","1"
"567","SCMH1","0.999999999999999"
"568","EDN2","0.999999999999999"
"569","HIVEP3","0.784882311001181"
"570","GUCA2B","NaN"
"571","GUCA2A","1"
"572","FOXJ3","1"
"573","RIMKLA","1"
"574","ZMYND12","0.896959542456879"
"575","PPCS","1"
"576","CCDC30","0.553721328121567"
"577","RP11-163G10.2","NaN"
"578","PPIH","0.237502887352591"
"579","YBX1","1"
"580","CLDN19","0.968240573759451"
"581","C1orf50","NaN"
"582","CCDC23","1"
"583","ERMAP","1"
"584","ZNF691","1"
"585","RP11-342M1.7","1"
"586","SLC2A1","1"
"587","FAM183A","1"
"588","EBNA1BP2","0.795977208729103"
"589","TMEM125","NaN"
"590","C1orf210","NaN"
"591","TIE1","0.999999999999997"
"592","MPL","0.787652074368929"
"593","CDC20","0.999999999999999"
"594","ELOVL1","0.999999999999999"
"595","MED8","1"
"596","SZT2","0.765833259489412"
"597","HYI","1"
"598","PTPRF","0.753315065116041"
"599","KDM4A","0.696763233280634"
"600","ST3GAL3","1"
"601","ARTN","0.564399369723673"
"602","IPO13","1"
"603","DPH2","0.619796905061822"
"604","ATP6V0B","1"
"605","B4GALT2","1"
"606","CCDC24","1"
"607","SLC6A9","0.696763233280634"
"608","RP5-1198O20.4","NaN"
"609","KLF17","0.896959542456879"
"610","DMAP1","1"
"611","ERI3","1"
"612","RNF220","1"
"613","TMEM53","0.237502887352591"
"614","C1orf228","NaN"
"615","KIF2C","0.787652074368929"
"616","RPS8","1"
"617","BEST4","1"
"618","PLK3","0.496393401519587"
"619","TCTEX1D4","NaN"
"620","BTBD19","NaN"
"621","PTCH2","0.896959542456879"
"622","EIF2B3","1"
"623","HECTD3","0.999999999999999"
"624","UROD","0.696763233280634"
"625","ZSWIM5","0.553721328121567"
"626","HPDL","1"
"627","MUTYH","1"
"628","TOE1","0.787652074368929"
"629","TESK2","0.787652074368929"
"630","CCDC163P","NaN"
"631","MMACHC","1"
"632","PRDX1","0.999999999999999"
"633","AKR1A1","1"
"634","NASP","0.553721328121567"
"635","CCDC17","1"
"636","GPBP1L1","0.896959542456879"
"637","TMEM69","1"
"638","IPP","0.896959542456879"
"639","MAST2","0.696763233280634"
"640","PIK3R3","0.696763233280634"
"641","TSPAN1","1"
"642","POMGNT1","0.496393401519587"
"643","LURAP1","1"
"644","RAD54L","1"
"645","LRRC41","0.970896248685848"
"646","UQCRH","1"
"647","NSUN4","NaN"
"648","FAAH","1"
"649","DMBX1","0.787652074368929"
"650","KNCN","NaN"
"651","MKNK1","0.896959542456879"
"652","MOB3C","0.999999999999999"
"653","ATPAF1","1"
"654","EFCAB14","1"
"655","TEX38","NaN"
"656","CYP4B1","0.896959542456879"
"657","CYP4Z2P","0.787652074368929"
"658","CYP4A11","0.896959542456879"
"659","CYP4X1","0.787652074368929"
"660","CYP4Z1","0.896959542456879"
"661","CYP4A22","0.696763233280634"
"662","PDZK1IP1","0.237502887352591"
"663","TAL1","NaN"
"664","STIL","0.633931345880634"
"665","CMPK1","0.999999999999999"
"666","FOXE3","NaN"
"667","FOXD2","1"
"668","TRABD2B","NaN"
"669","SLC5A9","0.853227222843093"
"670","SPATA6","1"
"671","AGBL4","1"
"672","BEND5","1"
"673","ELAVL4","0.853227222843093"
"674","RP11-183G22.1","NaN"
"675","DMRTA2","NaN"
"676","FAF1","1"
"677","CDKN2C","1"
"678","C1orf185","NaN"
"679","CFL1P2","NaN"
"680","RNF11","1"
"681","TTC39A","1"
"682","EPS15","1"
"683","OSBPL9","1"
"684","SNORA26","1"
"685","NRD1","0.362953280660476"
"686","RAB3B","1"
"687","TXNDC12","1"
"688","KTI12","1"
"689","BTF3L4","1"
"690","ZFYVE9","1"
"691","CC2D1B","0.696763233280634"
"692","ORC1","1"
"693","PRPF38A","1"
"694","ZCCHC11","0.999999999999999"
"695","GPX7","0.795977208729103"
"696","FAM159A","1"
"697","ZYG11B","0.787652074368929"
"698","ZYG11A","NaN"
"699","ECHDC2","1"
"700","SCP2","0.553721328121567"
"701","PODN","1"
"702","SLC1A7","1"
"703","CPT2","0.896959542456879"
"704","C1orf123","1"
"705","MAGOH","1"
"706","LRP8","0.787652074368929"
"707","SLC25A3P1","NaN"
"708","DMRTB1","1"
"709","GLIS1","0.896959542456879"
"710","NDC1","0.999999999999999"
"711","YIPF1","0.896959542456879"
"712","DIO1","NaN"
"713","HSPB11","1"
"714","LRRC42","1"
"715","LDLRAD1","1"
"716","TMEM59","1"
"717","TCEANC2","1"
"718","CDCP2","1"
"719","CYB5RL","1"
"720","MRPL37","0.755529004725746"
"721","SSBP3","0.795977208729103"
"722","ACOT11","1"
"723","FAM151A","0.896959542456879"
"724","MROH7","1"
"725","TTC4","1"
"726","PARS2","0.795977208729103"
"727","TTC22","1"
"728","C1orf177","1"
"729","DHCR24","1"
"730","TMEM61","1"
"731","BSND","1"
"732","PCSK9","0.896959542456879"
"733","USP24","0.479235348321798"
"734","RP11-466L17.1","NaN"
"735","PPAP2B","1"
"736","PRKAA2","0.787652074368929"
"737","C1orf168","1"
"738","C8A","1"
"739","C8B","1"
"740","DAB1","1"
"741","RP11-393I23.4","NaN"
"742","OMA1","0.999999999999999"
"743","TACSTD2","0.564399369723673"
"744","MYSM1","1"
"745","JUN","0.787652074368929"
"746","FGGY","0.896959542456879"
"747","HOOK1","0.787652074368929"
"748","CYP2J2","1"
"749","C1orf87","0.999999999999999"
"750","NFIA","1"
"751","TM2D1","1"
"752","INADL","0.269270883044081"
"753","L1TD1","0.999999999999999"
"754","KANK4","0.44623957043391"
"755","USP1","0.999999999999999"
"756","DOCK7","0.691812806447297"
"757","ANGPTL3","0.999999999999999"
"758","ATG4C","0.787652074368929"
"759","FOXD3","1"
"760","ALG6","1"
"761","ITGB3BP","0.0402144302111678"
"762","EFCAB7","1"
"763","PGM1","0.787652074368929"
"764","ROR1","0.896959542456879"
"765","UBE2U","0.999999999999999"
"766","CACHD1","1"
"767","RAVER2","1"
"768","JAK1","0.787652074368929"
"769","MIR101-1","NaN"
"770","AK4","0.564399369723673"
"771","DNAJC6","1"
"772","LEPR","0.496393401519587"
"773","LEPROT","1"
"774","PDE4B","0.496393401519587"
"775","SGIP1","1"
"776","TCTEX1D1","1"
"777","INSL5","1"
"778","WDR78","1"
"779","MIER1","0.970896248685848"
"780","SLC35D1","1"
"781","C1orf141","0.553721328121567"
"782","IL23R","1"
"783","IL12RB2","0.696763233280634"
"784","SERBP1","0.999999999999999"
"785","GADD45A","1"
"786","GNG12","1"
"787","DIRAS3","NaN"
"788","WLS","1"
"789","RPE65","1"
"790","DEPDC1","1"
"791","LRRC7","0.669593926930222"
"792","LRRC40","0.795977208729103"
"793","SRSF11","0.896959542456879"
"794","ANKRD13C","0.999999999999999"
"795","HHLA3","NaN"
"796","CTH","0.968240573759451"
"797","PTGER3","1"
"798","ZRANB2","1"
"799","NEGR1","1"
"800","LRRIQ3","0.896959542456879"
"801","FPGT","0.619796905061822"
"802","FPGT-TNNI3K","0.896959542456879"
"803","TNNI3K","0.896959542456879"
"804","LRRC53","NaN"
"805","CRYZ","1"
"806","TYW3","0.896959542456879"
"807","LHX8","0.787652074368929"
"808","SLC44A5","0.795977208729103"
"809","RP4-595K12.2","1"
"810","ACADM","1"
"811","RABGGTB","0.795977208729103"
"812","MSH4","0.853227222843093"
"813","ASB17","0.564399369723673"
"814","ST6GALNAC3","0.999999999999999"
"815","TPI1P1","NaN"
"816","ST6GALNAC5","0.999999999999999"
"817","PIGK","0.999999999999999"
"818","AK5","0.564399369723673"
"819","ZZZ3","0.44623957043391"
"820","USP33","0.999999999999997"
"821","FAM73A","1"
"822","NEXN","0.999999999999999"
"823","FUBP1","0.896959542456879"
"824","DNAJB4","1"
"825","GIPC2","NaN"
"826","PTGFR","0.542278588762034"
"827","IFI44L","0.787652074368929"
