"","Gene","p value"
"307","HTR1D","NaN"
"308","HNRNPR","NaN"
"309","ZNF436","0.999999999999998"
"310","TCEA3","NaN"
"311","ASAP3","NaN"
"312","E2F2","NaN"
"313","ID3","NaN"
"314","MDS2","NaN"
"315","RPL11","NaN"
"316","TCEB3","0.999999999999999"
"317","PITHD1","NaN"
"318","LYPLA2","NaN"
"319","GALE","NaN"
"320","HMGCL","NaN"
"321","FUCA1","NaN"
"322","CNR2","0.344381160262653"
"323","PNRC2","NaN"
"324","SRSF10","0.105266754692227"
"325","MYOM3","NaN"
"326","IL22RA1","NaN"
"327","IFNLR1","NaN"
"328","GRHL3","0.999999999999999"
"329","STPG1","NaN"
"330","NIPAL3","0.999999999999999"
"331","RCAN3","NaN"
"332","NCMAP","NaN"
"333","SRRM1","0.999999999999999"
"334","CLIC4","NaN"
"335","RUNX3","NaN"
"336","SYF2","NaN"
"337","RHD","NaN"
"338","TMEM50A","NaN"
"339","RHCE","NaN"
"340","TMEM57","NaN"
"341","LDLRAP1","NaN"
"342","MAN1C1","NaN"
"343","SEPN1","NaN"
"344","MTFR1L","0.999999999999999"
"345","AUNIP","NaN"
"346","PAQR7","NaN"
"347","STMN1","NaN"
"348","PAFAH2","NaN"
"349","EXTL1","NaN"
"350","SLC30A2","NaN"
"351","TRIM63","NaN"
"352","PDIK1L","NaN"
"353","FAM110D","NaN"
"354","ZNF593","NaN"
"355","CNKSR1","NaN"
"356","CATSPER4","0.999999999999998"
"357","RP11-231P20.2","NaN"
"358","CEP85","NaN"
"359","SH3BGRL3","NaN"
"360","UBXN11","NaN"
"361","CD52","NaN"
"362","AIM1L","NaN"
"363","ZNF683","NaN"
"364","LIN28A","NaN"
"365","DHDDS","NaN"
"366","HMGN2","NaN"
"367","RPS6KA1","NaN"
"368","ARID1A","NaN"
"369","PIGV","NaN"
"370","ZDHHC18","NaN"
"371","SFN","NaN"
"372","GPN2","NaN"
"373","GPATCH3","0.999999999999999"
"374","NUDC","NaN"
"375","NR0B2","NaN"
"376","TRNP1","NaN"
"377","FAM46B","NaN"
