"","Gene","p value"
"826","PTGFR","0.999999999999999"
"827","IFI44L","1"
"828","IFI44","NaN"
"829","PSAT1P3","NaN"
"830","ST13P20","NaN"
"831","RP11-413G15.1","NaN"
"832","TTLL7","NaN"
"833","PRKACB","0.999999999999998"
"834","SAMD13","NaN"
"835","UOX","NaN"
"836","DNASE2B","0.999999999999999"
"837","RPF1","0.999999999999999"
"838","GNG5","NaN"
"839","SPATA1","NaN"
"840","CTBS","NaN"
"841","SSX2IP","1"
"842","LPAR3","0.999999999999999"
"843","MCOLN2","NaN"
"844","WDR63","0.999999999999999"
"845","MCOLN3","0.999999999999998"
"846","SYDE2","0.999999999999999"
"847","C1orf52","0.999999999999999"
"848","BCL10","NaN"
"849","DDAH1","NaN"
"850","CYR61","NaN"
"851","ZNHIT6","NaN"
"852","COL24A1","1"
"853","ODF2L","NaN"
"854","CLCA2","0.999999999999999"
"855","CLCA1","NaN"
"856","CLCA4","1"
"857","RP4-651E10.4","1"
"858","SH3GLB1","0.999999999999999"
"859","SEP15","NaN"
"860","HS2ST1","NaN"
"861","RP5-1052I5.2","NaN"
"862","LMO4","1"
"863","PKN2","1"
"864","GTF2B","0.999999999999999"
"865","CCBL2","NaN"
"866","RBMXL1","1"
"867","GBP3","NaN"
"868","GBP1","1"
"869","GBP2","0.999999999999999"
"870","GBP7","0.999999999999999"
"871","GBP4","NaN"
"872","GBP5","NaN"
"873","GBP6","0.000973144580535149"
"874","GBP1P1","0.999999999999999"
"875","LRRC8B","NaN"
"876","LRRC8C","0.999999999999999"
"877","LRRC8D","NaN"
"878","ZNF326","1"
"879","U3","NaN"
"880","BARHL2","NaN"
"881","ZNF644","0.999999999999999"
"882","HFM1","0.999999999999998"
"883","CDC7","0.999999999999999"
"884","HSP90B3P","0.999999999999999"
"885","TGFBR3","0.999999999999999"
"886","BRDT","0.999999999999999"
"887","EPHX4","NaN"
"888","BTBD8","0.999999999999999"
"889","KIAA1107","1"
"890","C1orf146","NaN"
"891","GLMN","NaN"
"892","RPAP2","0.999999999999999"
"893","GFI1","NaN"
"894","EVI5","0.999999999999999"
"895","RPL5","0.999999999999999"
"896","FAM69A","NaN"
"897","SNORA51","NaN"
"898","MTF2","NaN"
"899","TMED5","NaN"
"900","CCDC18","1"
"901","DR1","NaN"
"902","FNBP1L","1"
"903","BCAR3","1"
"904","DNTTIP2","1"
"905","GCLM","NaN"
"906","ABCA4","1"
"907","ARHGAP29","0.999999999999998"
"908","ABCD3","0.999999999999998"
"909","F3","NaN"
"910","SLC44A3","1"
"911","CNN3","0.999999999999999"
"912","ALG14","NaN"
"913","TMEM56","0.999999999999999"
"914","RWDD3","0.999999999999999"
"915","PTBP2","0.000973144580535149"
