"","Gene","p value"
"328","GRHL3","NaN"
"329","STPG1","1"
"330","NIPAL3","0.942551418035588"
"331","RCAN3","0.942551418035588"
"332","NCMAP","0.517454023030534"
"333","SRRM1","0.942551418035588"
"334","CLIC4","1"
"335","RUNX3","NaN"
"336","SYF2","NaN"
"337","RHD","NaN"
"338","TMEM50A","NaN"
"339","RHCE","1"
"340","TMEM57","0.942551418035588"
"341","LDLRAP1","0.79698009745237"
"342","MAN1C1","0.0780222096181066"
"343","SEPN1","0.517454023030534"
"344","MTFR1L","1"
"345","AUNIP","NaN"
"346","PAQR7","0.942551418035588"
"347","STMN1","0.517454023030534"
"348","PAFAH2","1"
"349","EXTL1","1"
"350","SLC30A2","NaN"
"351","TRIM63","0.999999999999999"
"352","PDIK1L","NaN"
"353","FAM110D","0.999999999999999"
"354","ZNF593","NaN"
"355","CNKSR1","NaN"
"356","CATSPER4","1"
"357","RP11-231P20.2","NaN"
"358","CEP85","1"
"359","SH3BGRL3","NaN"
"360","UBXN11","0.517454023030534"
"361","CD52","NaN"
"362","AIM1L","0.0780222096181066"
"363","ZNF683","NaN"
"364","LIN28A","NaN"
"365","DHDDS","0.517454023030534"
"366","HMGN2","NaN"
"367","RPS6KA1","NaN"
"368","ARID1A","0.255564589306689"
"369","PIGV","NaN"
"370","ZDHHC18","NaN"
"371","SFN","1"
"372","GPN2","NaN"
"373","GPATCH3","NaN"
"374","NUDC","1"
"375","NR0B2","NaN"
"376","TRNP1","NaN"
"377","FAM46B","1"
"378","SLC9A1","0.942551418035588"
"379","WDTC1","0.999999999999999"
"380","TMEM222","0.517454023030534"
"381","SYTL1","NaN"
"382","MAP3K6","0.618754807605962"
"383","FCN3","NaN"
"384","CD164L2","NaN"
"385","GPR3","NaN"
"386","WASF2","NaN"
"387","AHDC1","1"
"388","FGR","0.942551418035588"
"389","IFI6","1"
"390","FAM76A","1"
"391","STX12","1"
"392","PPP1R8","NaN"
"393","THEMIS2","0.517454023030534"
"394","RPA2","0.999999999999999"
"395","SMPDL3B","NaN"
"396","XKR8","1"
"397","EYA3","1"
"398","SPCS2P4","NaN"
"399","RP5-1053E7.3","NaN"
"400","PTAFR","NaN"
"401","DNAJC8","NaN"
"402","ATPIF1","1"
"403","SESN2","NaN"
"404","MED18","0.517454023030534"
"405","PHACTR4","0.942551418035588"
"406","RCC1","NaN"
"407","SNORA73B","NaN"
"408","TRNAU1AP","0.517454023030534"
"409","TAF12","NaN"
"410","RAB42","1"
"411","RNU11","NaN"
"412","GMEB1","1"
"413","YTHDF2","1"
"414","OPRD1","NaN"
"415","EPB41","NaN"
"416","TMEM200B","0.517454023030534"
"417","SRSF4","0.79698009745237"
"418","MECR","0.999999999999999"
"419","PTPRU","0.999999999999999"
"420","AC092265.1","NaN"
"421","MATN1","1"
"422","LAPTM5","NaN"
"423","SDC3","NaN"
"424","PUM1","0.999999999999999"
"425","NKAIN1","NaN"
"426","SNRNP40","0.999999999999999"
"427","ZCCHC17","1"
"428","FABP3","NaN"
"429","SERINC2","1"
"430","AC114494.1","NaN"
"431","TINAGL1","NaN"
"432","HCRTR1","1"
"433","PEF1","1"
"434","COL16A1","0.999999999999999"
"435","SPOCD1","1"
"436","PTP4A2","NaN"
"437","KHDRBS1","1"
"438","TMEM39B","NaN"
"439","KPNA6","NaN"
"440","TXLNA","NaN"
"441","CCDC28B","1"
"442","IQCC","NaN"
"443","DCDC2B","NaN"
"444","TMEM234","NaN"
"445","EIF3I","1"
"446","MTMR9LP","NaN"
"447","FAM167B","NaN"
"448","LCK","1"
"449","HDAC1","0.517454023030534"
"450","MARCKSL1","NaN"
"451","TSSK3","NaN"
"452","FAM229A","NaN"
"453","BSDC1","NaN"
"454","ZBTB8B","1"
"455","ZBTB8A","NaN"
"456","ZBTB8OS","NaN"
"457","RBBP4","1"
"458","SYNC","1"
"459","KIAA1522","0.0780222096181066"
"460","YARS","NaN"
"461","S100PBP","0.942551418035588"
"462","FNDC5","NaN"
"463","HPCA","NaN"
"464","TMEM54","NaN"
"465","RNF19B","1"
"466","RP1-117O3.2","NaN"
"467","AK2","NaN"
"468","TRIM62","NaN"
"469","ZNF362","NaN"
"470","A3GALT2","NaN"
"471","PHC2","0.942551418035588"
"472","ZSCAN20","NaN"
"473","CSMD2","0.618754807605962"
"474","HMGB4","0.517454023030534"
"475","C1orf94","1"
"476","SMIM12","NaN"
"477","GJB5","NaN"
"478","GJB4","NaN"
"479","GJB3","0.942551418035588"
"480","GJA4","1"
"481","DLGAP3","0.517454023030534"
"482","RP11-244H3.1","NaN"
"483","ZMYM6","0.999999999999999"
"484","ZMYM6NB","NaN"
"485","ZMYM1","1"
"486","SFPQ","0.942551418035588"
"487","ZMYM4","NaN"
"488","KIAA0319L","NaN"
"489","NCDN","1"
"490","TFAP2E","NaN"
"491","PSMB2","NaN"
"492","C1orf216","NaN"
"493","CLSPN","NaN"
"494","AGO4","NaN"
"495","AGO1","0.517454023030534"
"496","AGO3","0.999999999999999"
"497","TEKT2","1"
"498","ADPRHL2","NaN"
"499","COL8A2","NaN"
"500","TRAPPC3","NaN"
"501","MAP7D1","1"
"502","THRAP3","0.999999999999999"
"503","SH3D21","1"
"504","EVA1B","NaN"
"505","STK40","0.517454023030534"
"506","LSM10","NaN"
"507","OSCP1","NaN"
"508","MRPS15","1"
"509","CSF3R","1"
"510","GRIK3","0.517454023030534"
"511","MIR4255","NaN"
"512","ZC3H12A","0.618754807605962"
"513","MEAF6","NaN"
"514","SNIP1","0.517454023030534"
"515","DNALI1","NaN"
"516","GNL2","0.0571578435162259"
"517","RSPO1","NaN"
"518","C1orf109","1"
"519","CDCA8","0.999999999999999"
"520","EPHA10","0.999999999999999"
"521","MANEAL","0.517454023030534"
"522","YRDC","NaN"
"523","C1orf122","NaN"
"524","MTF1","0.999999999999999"
"525","INPP5B","0.942551418035588"
"526","SF3A3","1"
"527","FHL3","NaN"
"528","UTP11L","NaN"
"529","POU3F1","NaN"
"530","RP11-334L9.1","NaN"
"531","RRAGC","NaN"
"532","MYCBP","NaN"
"533","GJA9","NaN"
"534","RHBDL2","NaN"
"535","AKIRIN1","1"
"536","NDUFS5","NaN"
"537","MACF1","0.555675203763102"
"538","BMP8A","NaN"
"539","PPIEL","NaN"
"540","PABPC4","1"
"541","HEYL","NaN"
"542","NT5C1A","1"
"543","HPCAL4","1"
"544","PPIE","1"
"545","BMP8B","1"
"546","OXCT2","1"
"547","TRIT1","1"
"548","MYCL","0.942551418035588"
"549","MFSD2A","NaN"
"550","CAP1","1"
"551","PPT1","NaN"
"552","RLF","0.79698009745237"
"553","TMCO2","NaN"
"554","ZMPSTE24","1"
